description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,net_generation,2019
New Hampshire : electric utility,thousand megawatthours,ELEC.GEN.WND-NH-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : independent power producers,thousand megawatthours,ELEC.GEN.WND-NH-94.A,--,--,--,--,--,--,--,10,62,76,66,209,389,412,423,432,412,407,409
New Hampshire : all commercial,thousand megawatthours,ELEC.GEN.WND-NH-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : all industrial,thousand megawatthours,ELEC.GEN.WND-NH-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island,thousand megawatthours,ELEC.GEN.WND-RI-99.A,,,,,,,,,,,,,,,,,,,
Rhode Island : all sectors,thousand megawatthours,ELEC.GEN.WND-RI-99.A,--,--,--,--,--,--,--,--,--,3,3,1,3,10,10,27,149,159,226
Rhode Island : electric power,,ELEC.GEN.WND-RI-98.A,,,,,,,,,,,,,,,,,,,
Rhode Island : electric utility,thousand megawatthours,ELEC.GEN.WND-RI-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : independent power producers,thousand megawatthours,ELEC.GEN.WND-RI-94.A,--,--,--,--,--,--,--,--,--,3,3,1,3,2,3,20,142,151,219
Rhode Island : all commercial,thousand megawatthours,ELEC.GEN.WND-RI-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,8,7,7,7,7,8
Rhode Island : all industrial,thousand megawatthours,ELEC.GEN.WND-RI-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont,thousand megawatthours,ELEC.GEN.WND-VT-99.A,,,,,,,,,,,,,,,,,,,
Vermont : all sectors,thousand megawatthours,ELEC.GEN.WND-VT-99.A,12,10,11,11,11,11,11,10,12,14,33,107,236,311,325,291,305,373,384
Vermont : electric power,,ELEC.GEN.WND-VT-98.A,,,,,,,,,,,,,,,,,,,
Vermont : electric utility,thousand megawatthours,ELEC.GEN.WND-VT-1.A,12,10,11,11,11,11,11,10,12,14,11,26,127,190,205,179,178,173,171
Vermont : independent power producers,thousand megawatthours,ELEC.GEN.WND-VT-94.A,--,--,--,--,--,--,--,--,--,--,22,81,109,121,121,112,127,201,213
Vermont : all commercial,thousand megawatthours,ELEC.GEN.WND-VT-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : all industrial,thousand megawatthours,ELEC.GEN.WND-VT-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic,thousand megawatthours,ELEC.GEN.WND-MAT-99.A,,,,,,,,,,,,,,,,,,,
Middle Atlantic : all sectors,thousand megawatthours,ELEC.GEN.WND-MAT-99.A,32,139,153,423,387,1032,1324,2001,3362,4463,4633,5132,6902,7556,7351,7437,7749,7588,8421
Middle Atlantic : electric power,,ELEC.GEN.WND-MAT-98.A,,,,,,,,,,,,,,,,,,,
Middle Atlantic : electric utility,thousand megawatthours,ELEC.GEN.WND-MAT-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic : independent power producers,thousand megawatthours,ELEC.GEN.WND-MAT-94.A,32,139,153,423,387,1032,1324,2001,3362,4463,4633,5128,6899,7554,7349,7436,7744,7579,8413
Middle Atlantic : all commercial,thousand megawatthours,ELEC.GEN.WND-MAT-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,3,NM
Middle Atlantic : all industrial,thousand megawatthours,ELEC.GEN.WND-MAT-97.A,--,--,--,--,--,--,--,--,--,--,--,4,4,2,2,2,1,6,NM
New Jersey,thousand megawatthours,ELEC.GEN.WND-NJ-99.A,,,,,,,,,,,,,,,,,,,
New Jersey : all sectors,thousand megawatthours,ELEC.GEN.WND-NJ-99.A,--,--,--,--,--,16,20,21,21,13,11,12,11,23,22,21,22,23,22
New Jersey : electric power,,ELEC.GEN.WND-NJ-98.A,,,,,,,,,,,,,,,,,,,
New Jersey : electric utility,thousand megawatthours,ELEC.GEN.WND-NJ-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey : independent power producers,thousand megawatthours,ELEC.GEN.WND-NJ-94.A,--,--,--,--,--,16,20,21,21,13,11,12,11,23,22,21,22,23,22
New Jersey : all commercial,thousand megawatthours,ELEC.GEN.WND-NJ-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey : all industrial,thousand megawatthours,ELEC.GEN.WND-NJ-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New York,thousand megawatthours,ELEC.GEN.WND-NY-99.A,,,,,,,,,,,,,,,,,,,
New York : all sectors,thousand megawatthours,ELEC.GEN.WND-NY-99.A,21,82,41,116,103,655,833,1251,2266,2596,2828,2992,3539,3968,3977,3940,4136,3998,4850
New York : electric power,,ELEC.GEN.WND-NY-98.A,,,,,,,,,,,,,,,,,,,
New York : electric utility,thousand megawatthours,ELEC.GEN.WND-NY-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New York : independent power producers,thousand megawatthours,ELEC.GEN.WND-NY-94.A,21,82,41,116,103,655,833,1251,2266,2596,2828,2988,3536,3966,3974,3939,4131,3989,4842
New York : all commercial,thousand megawatthours,ELEC.GEN.WND-NY-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,3,NM
New York : all industrial,thousand megawatthours,ELEC.GEN.WND-NY-97.A,--,--,--,--,--,--,--,--,--,--,--,4,4,2,2,2,1,6,NM
Pennsylvania,thousand megawatthours,ELEC.GEN.WND-PA-99.A,,,,,,,,,,,,,,,,,,,
Pennsylvania : all sectors,thousand megawatthours,ELEC.GEN.WND-PA-99.A,11,58,112,306,284,361,470,729,1075,1854,1794,2129,3352,3565,3353,3476,3591,3567,3549
Pennsylvania : electric power,,ELEC.GEN.WND-PA-98.A,,,,,,,,,,,,,,,,,,,
Pennsylvania : electric utility,thousand megawatthours,ELEC.GEN.WND-PA-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pennsylvania : independent power producers,thousand megawatthours,ELEC.GEN.WND-PA-94.A,11,58,112,306,284,361,470,729,1075,1854,1794,2129,3352,3565,3353,3476,3591,3567,3549
Pennsylvania : all commercial,thousand megawatthours,ELEC.GEN.WND-PA-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pennsylvania : all industrial,thousand megawatthours,ELEC.GEN.WND-PA-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
East North Central,thousand megawatthours,ELEC.GEN.WND-ENC-99.A,,,,,,,,,,,,,,,,,,,
East North Central : all sectors,thousand megawatthours,ELEC.GEN.WND-ENC-99.A,73,47,118,184,249,373,791,3219,5589,8849,11341,14612,18610,20218,22852,23019,25778,26181,29528
East North Central : electric power,,ELEC.GEN.WND-ENC-98.A,,,,,,,,,,,,,,,,,,,
East North Central : electric utility,thousand megawatthours,ELEC.GEN.WND-ENC-1.A,44,46,43,43,51,57,65,282,573,562,602,1242,2205,2381,3053,2942,2846,2930,3174
East North Central : independent power producers,thousand megawatthours,ELEC.GEN.WND-ENC-94.A,29,0,76,140,198,316,726,2936,5016,8285,10736,13357,16374,17790,19751,20010,22859,23154,26248
East North Central : all commercial,thousand megawatthours,ELEC.GEN.WND-ENC-96.A,--,--,--,--,--,--,--,--,--,NM,1,1,1,5,6,8,10,28,28
East North Central : all industrial,thousand megawatthours,ELEC.GEN.WND-ENC-97.A,--,--,--,--,--,--,--,--,--,--,2,12,29,42,41,59,63,70,78
Illinois,thousand megawatthours,ELEC.GEN.WND-IL-99.A,,,,,,,,,,,,,,,,,,,
