Average Wind Speed ?,County / Population
15.79 mph,"Hall, TX / 3,270"
15.79 mph,"Hamilton, TX / 8,330"
15.77 mph,"Cottle, TX / 1,596"
15.74 mph,"Denton, TX / 708,627"
15.71 mph,"Frio, TX / 17,847"
15.70 mph,"Collingsworth, TX / 3,053"
15.70 mph,"Motley, TX / 1,172"
15.69 mph,"Medina, TX / 46,965"
15.65 mph,"Hemphill, TX / 4,032"
15.64 mph,"Hays, TX / 170,410"
15.63 mph,"Hill, TX / 35,027"
15.61 mph,"Childress, TX / 7,066"
15.61 mph,"Ellis, TX / 154,447"
15.60 mph,"Carson, TX / 6,108"
15.59 mph,"San Augustine, TX / 8,777"
15.55 mph,"Wheeler, TX / 5,587"
15.54 mph,"Briscoe, TX / 1,601"
15.51 mph,"Val Verde, TX / 48,999"
15.51 mph,"Mills, TX / 4,881"
15.51 mph,"Chambers, TX / 36,550"
15.50 mph,"Potter, TX / 122,053"
15.48 mph,"Lamb, TX / 13,875"
15.46 mph,"Zavala, TX / 12,013"
15.42 mph,"Comal, TX / 115,808"
15.42 mph,"Armstrong, TX / 1,947"
15.37 mph,"Deaf Smith, TX / 19,331"
15.36 mph,"Guadalupe, TX / 139,709"
15.30 mph,"Henderson, TX / 78,836"
15.30 mph,"Floyd, TX / 6,263"
15.29 mph,"Wilson, TX / 44,609"
15.27 mph,"Washington, TX / 34,039"
15.27 mph,"Lynn, TX / 5,806"
15.26 mph,"Lipscomb, TX / 3,418"
15.21 mph,"Kleberg, TX / 32,142"
15.19 mph,"Jim Hogg, TX / 5,266"
15.16 mph,"Caldwell, TX / 38,870"
15.14 mph,"Dimmit, TX / 10,537"
15.14 mph,"Collin, TX / 836,947"
15.12 mph,"Maverick, TX / 55,821"
15.11 mph,"Refugio, TX / 7,295"
15.06 mph,"Fannin, TX / 33,775"
15.05 mph,"Kaufman, TX / 107,119"
15.02 mph,"Duval, TX / 11,644"
15.02 mph,"Swisher, TX / 7,789"
15.01 mph,"Johnson, TX / 153,854"
15.01 mph,"Travis, TX / 1,092,810"
14.99 mph,"Angelina, TX / 87,433"
14.99 mph,"Hidalgo, TX / 806,447"
14.92 mph,"Hale, TX / 35,925"
14.91 mph,"Wharton, TX / 41,219"
14.90 mph,"Van Zandt, TX / 52,605"
14.82 mph,"Jackson, TX / 14,336"
14.80 mph,"Dallas, TX / 2,448,943"
